pair_choice,span,minimum_adjacent_separation,relative_eigenvalue_threshold,pair_weight_in_triple_space,pair_norm_squared,minimum_gram_eigenvalue,maximum_gram_eigenvalue,retained_rank,retained_condition_number,discarded_overlap_norm_squared
same_outer_tensors,80,20,1.0e-12,0.003489549947249753,1.0000000011677956,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
same_outer_tensors,80,20,1.0e-10,0.003489549947249753,1.0000000011677956,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
same_outer_tensors,80,20,1.0e-8,0.003489549947249753,1.0000000011677956,0.975699997906266,1.0954322002212742,41,1.122714156576754,0.0
same_outer_tensors,80,30,1.0e-12,4.67879804718657e-5,1.0000000011677956,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
same_outer_tensors,80,30,1.0e-10,4.67879804718657e-5,1.0000000011677956,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
same_outer_tensors,80,30,1.0e-8,4.67879804718657e-5,1.0000000011677956,0.9971446520280106,1.0096753722203233,21,1.0125666022144606,0.0
same_outer_tensors,80,40,1.0e-12,2.3449315723195938e-7,1.0000000011677956,1.0003927383560183,1.0003927383560183,1,1.0,0.0
same_outer_tensors,80,40,1.0e-10,2.3449315723195938e-7,1.0000000011677956,1.0003927383560183,1.0003927383560183,1,1.0,0.0
same_outer_tensors,80,40,1.0e-8,2.3449315723195938e-7,1.0000000011677956,1.0003927383560183,1.0003927383560183,1,1.0,0.0
same_outer_tensors,100,20,1.0e-12,0.0034895464327974737,1.00000000017023,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
same_outer_tensors,100,20,1.0e-10,0.0034895464327974737,1.00000000017023,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
same_outer_tensors,100,20,1.0e-8,0.0034895464327974737,1.00000000017023,0.9756898943423923,1.0954305042953456,61,1.122724044440019,0.0
same_outer_tensors,100,30,1.0e-12,4.679812438610909e-5,1.00000000017023,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
same_outer_tensors,100,30,1.0e-10,4.679812438610909e-5,1.00000000017023,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
same_outer_tensors,100,30,1.0e-8,4.679812438610909e-5,1.00000000017023,0.9970832153916677,1.0097518558425989,41,1.0127057002418347,0.0
same_outer_tensors,100,40,1.0e-12,7.099193226503106e-7,1.00000000017023,0.9997801213543545,1.0014237768496241,21,1.0016440169794965,0.0
same_outer_tensors,100,40,1.0e-10,7.099193226503106e-7,1.00000000017023,0.9997801213543545,1.0014237768496241,21,1.0016440169794965,0.0
