time,minimum_adjacent_separation,reference_projection_weight,state_norm_squared
0,20,0.0024354991724995644,0.999999999999996
0,30,0.00011400494749684848,0.999999999999996
0,40,5.6385768543807775e-6,0.999999999999996
0,50,2.8761359539812564e-7,0.999999999999996
80,20,0.4015837774871919,0.9956743914406461
80,30,0.2929284132766624,0.9956743914406461
80,40,0.20625648659478135,0.9956743914406461
80,50,0.12268138637465884,0.9956743914406461
70,20,0.32261979957008635,0.9963711540448464
70,30,0.18653879689529612,0.9963711540448464
70,40,0.07646422840934045,0.9963711540448464
70,50,0.014219534222229565,0.9963711540448464
75,20,0.3710077454283042,0.9960235994295802
75,30,0.24874203434794773,0.9960235994295802
75,40,0.14862629664659446,0.9960235994295802
75,50,0.06028032577074832,0.9960235994295802
