vacuum_bond_dimension,momentum,eigenvalue_index,energy,eigen_residual,residual_converged,vacuum_gradient_residual
48,0.0,1,0.2548454926906822,4.535184732108987e-11,true,8.852781544447319e-11
48,0.0,2,0.4985182905549461,4.6089810370736586e-11,true,8.852781544447319e-11
48,0.0,3,0.545401210530343,7.56493705257456e-10,true,8.852781544447319e-11
64,0.0,1,0.25484549269110246,2.0726109586636476e-11,true,8.477380440671056e-11
64,0.0,2,0.4983262317789223,6.359881502926772e-11,true,8.477380440671056e-11
64,0.0,3,0.5388965846749278,7.9964476962787e-10,true,8.477380440671056e-11
64,0.1,1,0.3275439521690547,3.338619279323031e-11,true,8.477380440671056e-11
64,0.1,2,0.5391188764763105,1.1531487804620008e-10,true,8.477380440671056e-11
64,0.1,3,0.5767376714054782,9.902344678805445e-10,true,8.477380440671056e-11
64,0.157,1,0.4113426896081524,8.510855498927693e-11,true,8.477380440671056e-11
64,0.157,2,0.5937994824013689,1.3404489538456588e-10,true,8.477380440671056e-11
64,0.157,3,0.6280550156510387,8.85667029636329e-10,true,8.477380440671056e-11
64,0.19,1,0.4663872563889239,9.548386315189648e-11,true,8.477380440671056e-11
64,0.19,2,0.6332331342072701,1.1630583337421937e-10,true,8.477380440671056e-11
64,0.19,3,0.6654045571874319,7.214130485334713e-10,true,8.477380440671056e-11
64,0.2,1,0.48368867613628325,9.391224416669356e-11,true,8.477380440671056e-11
64,0.2,2,0.6461083497456067,7.480313525544614e-11,true,8.477380440671056e-11
64,0.2,3,0.677652032526334,6.898702597333421e-10,true,8.477380440671056e-11
64,0.314,1,0.692724588475036,1.7162282410487763e-11,true,8.477380440671056e-11
64,0.314,2,0.8151465014707409,3.0280258681400844e-10,true,8.477380440671056e-11
64,0.314,3,0.8402568874882933,8.570837782450252e-10,true,8.477380440671056e-11
64,0.38,1,0.8189717280369709,1.4375263120227512e-11,true,8.477380440671056e-11
64,0.38,2,0.925701347918051,4.575067943776902e-11,true,8.477380440671056e-11
64,0.38,3,0.9478964405938112,9.775622800943442e-10,true,8.477380440671056e-11
