time,left_bond,middle_bond,right_bond,mean_y,triple,connected_triple,vacuum_triple
0,72,92,232,0.005281621809183239,-1.6277939326068466e-7,1.365993093378065e-16,-5.339128253590886e-19
0,72,94,232,0.0036241866574540935,-6.871436519831179e-7,1.3093011782183347e-16,-5.218148953101974e-19
0,72,96,232,0.002403811492357852,-6.499355240420942e-7,2.0809058415196396e-17,-5.158021194375507e-19
0,72,98,232,0.0015422378006823226,-2.601949931658036e-7,-1.2212393978570414e-16,-5.131967073031568e-19
0,72,100,232,0.0009578951097653347,1.3233641093058206e-7,-1.9825187295313164e-16,-5.125560559187367e-19
0,72,102,232,0.0005764939795159841,3.0044899957036344e-7,-1.506911847230395e-16,-5.128825854655414e-19
0,72,104,232,0.00033652180910347996,2.3676420488528912e-7,-3.1359277289722334e-18,-5.136194999937505e-19
0,72,106,232,0.00019073654849283302,7.416677166186163e-8,1.5009624995671175e-16,-5.144806467102043e-19
0,72,108,232,0.0001050828436134444,-5.248165433768787e-8,2.1413604358497512e-16,-5.153108775512682e-19
0,72,110,232,5.63338111091541e-5,-8.916096214235836e-8,1.549528324738025e-16,-5.160315586599555e-19
0,72,112,232,2.9413580657105403e-5,-5.909197003373215e-8,2.145695921050713e-17,-5.166378561995605e-19
0,72,114,232,1.4966698182076838e-5,-1.2704291201676876e-8,-9.730121574994324e-17,-5.171189134245513e-19
0,72,116,232,7.421058881788869e-6,1.5647186723559718e-8,-1.3331522363495868e-16,-5.174993518828379e-19
0,72,118,232,3.5805694884788416e-6,1.991291417517256e-8,-8.421467003860822e-17,-5.177907262536102e-19
0,72,120,232,1.674307858265781e-6,1.1097163442799325e-8,1.3813990675890692e-18,-5.18012578678839e-19
0,72,122,232,7.516887796738232e-7,1.5570259249120313e-9,6.286771096031962e-17,-5.181793266581021e-19
0,72,124,232,3.1710240412785e-7,-3.0078478227400187e-9,7.023974775563016e-17,-5.183046962196871e-19
0,72,126,232,1.1895346735778822e-7,-3.08078890707906e-9,3.621176722733489e-17,-5.183963161660518e-19
0,72,128,232,3.261417064548157e-8,-1.4087532607913858e-9,-7.5263482562358e-18,-5.184636312195736e-19
0,72,130,232,-2.2568888065536574e-9,-3.321489998730027e-11,-3.2656092743665265e-17,-5.18513053645588e-19
0,72,132,232,-1.4240755603969585e-8,4.651346555526185e-10,-3.198611194356223e-17,-5.18548882521454e-19
0,72,134,232,-1.6571170532786283e-8,3.82403058784919e-10,-1.6343941753172232e-17,-5.18574861970362e-19
0,72,136,232,-1.521514826522293e-8,1.5290402677345068e-10,-7.119954149869859e-19,-5.185936407474112e-19
0,72,138,232,-1.2766275339144448e-8,4.290276149866886e-12,5.964194870263774e-18,-5.186070961648539e-19
0,72,140,232,-1.0285432537215137e-8,-3.72424905159407e-11,4.167330840173856e-18,-5.186167105238906e-19
0,72,142,232,-8.156523878619446e-9,-2.497256815477845e-11,-3.0432519511807437e-19,-5.186235791925901e-19
0,72,144,232,-6.47793917369695e-9,-5.339301591206509e-12,-4.9166324869123084e-18,-5.186283368947492e-19
0,72,146,232,-5.238515935052757e-9,4.466785599887739e-12,-6.564865513754109e-18,-5.18631572107987e-19
0,72,148,232,-4.394899435555107e-9,5.640108964826328e-12,-5.647882060617482e-18,-5.18633669140089e-19
0,72,150,232,-3.904541055518664e-9,3.660803838868531e-12,-4.6629555687787916e-18,-5.186348275160634e-19
0,72,152,232,-3.7392769211244915e-9,1.860748267670596e-12,-3.2316615563298276e-18,-5.186351981923341e-19
0,72,154,232,-3.890858947920981e-9,9.583326118936826e-13,-3.4978062576436265e-18,-5.186348246887874e-19
0,72,156,232,-4.373527064824569e-9,-1.6422252877410046e-14,-2.795041994115799e-18,-5.186336554075954e-19
0,72,158,232,-5.225705535942586e-9,-4.5655302976414916e-12,-2.2982732456431342e-18,-5.186315639038329e-19
0,72,160,232,-6.511223923710811e-9,-5.637262988641996e-12,-2.61084041022355e-18,-5.186283077889378e-19
0,72,162,232,-8.318851417862943e-9,-3.4183543500448264e-12,3.9669012748265464e-19,-5.186235329968984e-19
